keys,en
speaker.caretaker,Caretaker
speaker.witch,Witch
speaker.blacksmith,Blacksmith
speaker.player,You
dialogue.caretaker_intro.0,"You came back. I'd hoped...well. A year is a long time to hope for something."
dialogue.caretaker_intro.1,"What happened to the core? It's gone."
dialogue.caretaker_intro.2,"One night the cracks just... gave way. We don't know how or why. We just know it's gone."
dialogue.caretaker_intro.3,"But you're here now, and that matters more than the why. You should speak to the Blacksmith and the Witch. They'll want to know you've come back."
dialogue.blacksmith_intro.0,"You've got some nerve, showing up now. You've been gone for an entire year."
dialogue.blacksmith_intro.1,"...I came as soon as I heard."
dialogue.blacksmith_intro.2,"Sure you did. Fine. You're here now, that's what counts. I'm not much for talking. If you want to help, get to work."
dialogue.witch_intro.0,"Ah. You. I wondered when the town would pull you back."
dialogue.witch_intro.1,"You knew I was coming?"
dialogue.witch_intro.2,"I know things are wrong. I've known since the night it happened, there's something in the residue of it. It didn't feel like an accident."
dialogue.witch_intro.3,"But I can't say more than that. Not yet."
dialogue.caretaker_intro_return.0,"Good. They're still standing. That's better than I feared on some nights."
dialogue.caretaker_intro_return.1,"The Witch thinks it wasn't an accident."
dialogue.caretaker_intro_return.2,"She's not wrong to feel that way. The Undoing doesn't shatter cores, it corrupts them, slowly. Someone or something else must have finished it."
dialogue.caretaker_intro_return.3,"But we rebuild with work, not grief. You'll need this to collect some wood from the trees around town. Just approach one and press the use tool button."
dialogue.caretaker_intro_return.4,"Let's start with the Town Hall, it was once the heart of this place after all. Let's make it the heart again. We'll need 10 wood to begin with."
dialogue.caretaker_rebuild_town_hall.0,"There. It's no longer what it was, but at least it's standing."
dialogue.caretaker_rebuild_town_hall.1,"Do you know how long I've been waiting to repair it, wondering if anyone would come to help?"
dialogue.caretaker_rebuild_town_hall.2,"You could have started without me."
dialogue.caretaker_rebuild_town_hall.3,"No. Some things need to be done together, or they don't mean anything. I've learned that the hard way, more than once."
dialogue.caretaker_rebuild_town_hall.4,"The Blacksmith's forge is next. She won't ask for help, though. You'll have to offer it."
dialogue.caretaker_rebuild_town_hall.5,"You'll need some ore to relight the forge. Take this pickaxe to mine for those."
dialogue.caretaker_rebuild_town_hall.6,"Just approach an ore and press the use tool button, your tool with auto-swap to the correct one."
dialogue.caretaker_rebuild_town_hall.7,"Speak to the Blacksmith before gathering the ore, she'll let you know exactly what she needs."
dialogue.caretaker_deliver_wood.0,"This wood will help fix the cracks in the roof, perfect. We'll need a lot more before it's truly whole."
dialogue.blacksmith_requirements.0,"The Town Hall looks much better. I understand that was your doing?"
dialogue.blacksmith_requirements.1,"You want to fix the forge as well. Fine. I won't pretend I don't need the help."
dialogue.blacksmith_requirements.2,"That's one way to ask for help. So then, what do you need?"
dialogue.blacksmith_requirements.3,"Wood for the frame. Coal for the fuel. Iron for the anvil and the fittings."
dialogue.blacksmith_deliver_all.0,"Good timber. Dry enough. Keep going."
dialogue.blacksmith_deliver_all.1,"This'll do. I should get a decent fire going from this coal."
dialogue.blacksmith_deliver_all.2,"That's the last of it. I can fix the anvil with this iron."
dialogue.blacksmith_complete.0,"The forge is lit. First time since... well. For the first time in awhile is all I'll say."
dialogue.blacksmith_complete.1,"You know, I thought about leaving after it happened. Didn't see the point of a forge with no town. Glad I didn't."
dialogue.blacksmith_complete.2,"Anyways, take this sword. It's not much, we can talk later about something better, but you'll need it if you're going to venture into the forest."
dialogue.blacksmith_complete.3,"What's happened to the forest?"
dialogue.blacksmith_complete.4,"Speak with the Witch. She'll tell you about the dangers in the forest, but first she needs help fixing her Alchemy shop."
dialogue.witch_requirements.0,"I've been piecing it back together in my head for months. The ingredients I lost, the shelves, the light from that particular window."
dialogue.witch_requirements.1,"You can't replace everything, but maybe you can make it liveable again."
dialogue.witch_requirements.2,"If you want to help, I'll need some wood for the shelves, stone for a new mortar and pestle, and...something special from the forest."
dialogue.witch_requirements.3,"The Blacksmith mentioned the forest and that you would explain why it's suddenly dangerous."
dialogue.witch_requirements.4,"Since we lost the core, monsters have started appearing outside the town. The sword the Blacksmith gave you should keep you safe enough."
dialogue.witch_requirements.5,"I will need 3 green slime cubes from the green slimes in the forest. They are fairly weak, I'm sure you'll manage just fine."
dialogue.witch_deliver_all.0,"This wood will make for a nice shelf."
dialogue.witch_deliver_all.1,"Yes, this stone will make a fine mortar and pestle."
dialogue.witch_deliver_all.2,"These slimes will do nicely. Don't ask questions for now, come back to me later and we'll discuss potions."
dialogue.witch_complete.0,"It's not finished, and likely won't be for a long time. But it's enough to allow me to work again."
dialogue.witch_complete.1,"We should discuss next steps in the core investigation."
dialogue.witch_complete.2,"Do you have a theory yet?"
dialogue.witch_complete.3,"I do not believe that the core failed on its own. It was ended. Someone stood in the keeper's circle and made a choice."
dialogue.witch_complete.4,"What you must understand is that type of knowledge is rare. Most people in this town are unaware of the mystical properties of the core. Most people."
dialogue.caretaker_fallback.0,"Every stone we lay is a promise. I have to believe that."
