key,en
harvestable.tree_stump.name,"Tree Stump"
harvestable.tree_stump.description,"Leftover from chopping down a tree."
harvestable.small_tree.name,"Small Tree"
harvestable.small_tree.description,"Provides a small amount of wood."
harvestable.medium_tree.name,"Medium Tree"
harvestable.medium_tree.description,"Provides a medium amount of wood."
harvestable.small_adamantite_node.name,"Small Admantite Node"
harvestable.small_adamantite_node.description,"Provides a small amount of adamantite."
harvestable.medium_adamantite_node.name,"Medium Adamantite Node"
harvestable.medium_adamantite_node.description,"Provides a medium amount of adamatite."
harvestable.small_coal_node.name,"Small Coal Node"
harvestable.small_coal_node.description,"Provides a small amount of coal."
harvestable.medium_coal_node.name,"Medium Coal Node"
harvestable.medium_coal_node.description,"Provides a medium amount of coal."
harvestable.small_copper_node.name,"Small Copper Node"
harvestable.small_copper_node.description,"Provides a small amount of copper."
harvestable.medium_copper_node.name,"Medium Copper Node"
harvestable.medium_copper_node.description,"Provides a medium amount of copper."
harvestable.small_iron_node.name,"Small Iron Node"
harvestable.small_iron_node.description,"Provides a small amount of iron."
harvestable.medium_iron_node.name,"Medium Iron Node"
harvestable.medium_iron_node.description,"Provides a medium amount of iron."
harvestable.small_tin_node.name,"Small Tin Node"
harvestable.small_tin_node.description,"Provides a small amount of tin."
harvestable.medium_tin_node.name,"Medium Tin Node"
harvestable.medium_tin_node.description,"Provides a medium amount of tin."
harvestable.small_diamond_node.name,"Small Diamond Node"
harvestable.small_diamond_node.description,"Provides a small amount of diamond."
harvestable.medium_diamond_node.name,"Medium Diamond Node"
harvestable.medium_diamond_node.description,"Provides a medium amount of diamond."
harvestable.small_gold_node.name,"Small Gold Node"
harvestable.small_gold_node.description,"Provides a small amount of gold."
harvestable.medium_gold_node.name,"Medium Gold Node"
harvestable.medium_gold_node.description,"Provides a medium amount of gold."
harvestable.small_silver_node.name,"Small Silver Node"
harvestable.small_silver_node.description,"Provides a small amount of silver."
harvestable.medium_silver_node.name,"Medium Silver Node"
harvestable.medium_silver_node.description,"Provides a medium amount of silver."
harvestable.small_mithril_node.name,"Small Mithril Node"
harvestable.small_mithril_node.description,"Provides a small amount of mithril."
harvestable.medium_mithril_node.name,"Medium Mithril Node"
harvestable.medium_mithril_node.description,"Provides a medium amount of mithril."
harvestable.small_stone_node.name,"Small Stone Node"
harvestable.small_stone_node.description,"Provides a small amount of stone."
harvestable.medium_stone_node.name,"Medium Stone Node"
harvestable.medium_stone_node.description,"Provides a medium amount of stone."
